47;14;13;9;0;0;0;3;1;1;4;0;0;0;0;3;3;2;0
0;78;4;2;0;0;1;4;0;1;2;0;0;0;4;2;1;0;1
11;13;14;13;0;0;3;2;3;2;10;1;0;0;7;12;1;4;4
2;13;10;30;0;0;5;3;3;4;2;0;0;0;6;8;2;9;3
0;0;0;0;55;5;6;1;2;0;0;0;21;7;1;0;1;1;0
0;0;0;2;6;53;0;2;3;6;2;4;1;13;5;3;0;0;0
0;6;1;0;4;1;40;4;3;7;4;0;0;0;0;2;8;19;1
2;9;2;5;2;1;4;30;4;7;0;0;0;0;4;3;5;0;22
0;2;4;5;4;7;7;10;16;11;16;0;1;5;3;3;1;2;3
0;2;7;2;1;3;14;13;13;21;6;0;0;1;3;1;1;8;4
4;13;9;3;1;2;1;1;5;17;18;3;0;3;12;3;0;4;1
0;1;0;0;2;6;1;0;0;1;0;79;0;1;4;0;0;3;2
0;0;0;0;21;4;1;1;1;1;0;0;57;13;0;0;0;1;0
0;1;1;1;5;26;0;3;14;0;2;0;15;25;0;2;0;0;5
0;12;0;4;12;3;7;2;0;4;2;0;0;0;42;4;5;0;3
3;15;10;8;0;3;4;5;5;4;1;0;1;2;3;12;14;7;3
2;14;3;2;2;0;13;5;1;9;1;0;1;0;7;11;26;1;2
1;10;13;15;7;0;27;0;1;12;0;0;1;0;4;1;1;5;2
9;5;4;1;0;3;5;24;3;7;3;4;3;2;11;1;1;4;10
